plant	inflorescence	flower	table	plate	JD233	JD249	JD260	JD274	JD287	JD304	JD317	JD331	JD344	JD358	JD372	JD386	JD399
49	b	rd_sp	1	A	NA	NA	NA	0	5	12	0	0	0	0	0	0	0
51	b	p_sp	1	A	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
51	b	p_sp	1	B	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
58	b	rd_sp	1	A	NA	NA	NA	0	0	18	0	0	1	0	0	0	0
58	b	rd_sp	1	B	NA	NA	NA	0	0	9	5	0	0	0	0	0	0
58	w	b_lip	1	A	NA	NA	NA	0	5	13	0	0	0	0	0	0	0
66	g	rd_sp	1	A	NA	NA	NA	0	0	0	2	0	0	0	0	0	0
66	g	rd_sp	1	B	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
